Título,Conteúdo_Comentário,Status_resposta,Data_Comentário,URL_Título
Conta sem autorização,"Prezados,Entrando no site do BACEN e visualizando as contas abertas em meu CPF, vejo uma conta aberta no dia 28/02/202",,Há 25 dias,https://www.reclameaqui.com.br/avenue-securities/conta-sem-autorizacao_KoW3hbvrxB7bYNoH/
Taxas de inatividade,Tenho conta com a corretora Avenue desde janeiro de 2021 e a partir de agosto de 2022 a mesma vem cobrando Taxa de inatividade até,,Há 25 dias,https://www.reclameaqui.com.br/avenue-securities/taxas-de-inatividade_5Zt73ZgBP03sjGs_/
Empresa mais cara do mercado,Eles têm um jeito de ganhar dinheiro em todas as pontas. Existe uma taxa de inatividade cobrada por deixar a conta sem movimentar,,Há 1 mês,https://www.reclameaqui.com.br/avenue-securities/empresa-mais-cara-do-mercado_rzPEWoXNSjGDdEd5/
Problemas com cartão virtual,"O número do cartão virtual não aparece no App da ""Fintech"", já entrei em contato com a central de atendimento por telefo",,Há 1 mês,https://www.reclameaqui.com.br/avenue-securities/problemas-com-cartao-virtual__d0-YnzkPyKVonw3/
Sem acesso à conta há mais de uma semana!,Estou sem acesso à minha conta há mais de uma semana. Não consigo fazer o login na minha conta há mais de uma semana; não consigo,,Há 1 mês,https://www.reclameaqui.com.br/avenue-securities/sem-acesso-a-conta-ha-mais-de-uma-semana_RMQBHMxSfJxwM1_n/
Sumiram com meu dinheiro!!!,"Tenho uma conta conjunta com meu esposo que é o segundo titular da conta e fiz um PIX para Avenue conforme as orientações, vi que ",,Há 1 mês,https://www.reclameaqui.com.br/avenue-securities/sumiram-com-meu-dinheiro_AuYey8Q6YiCv6e2t/
CANCELAMENTO DE CONTA,"Entrei em contato com o Chat da Avenue, e apesar dos horarios aparecerem das 8 as 17hrs, e eu ter tentado as 13hrs, não havia ning",,Há 1 mês,https://www.reclameaqui.com.br/avenue-securities/cancelamento-de-conta_icFfTbotaX1qsXJn/
Encerrar conta 61.384.004 - AVENUE SECURITIES DTVM LTDA.,"Acredito que eu já tenha encerrado essa conta, gostaria de que tirasse do meu registrato por favor!",,Há 1 mês,https://www.reclameaqui.com.br/avenue-securities/encerrar-conta-61-384-004-avenue-securities-dtvm-ltda_nD9yFDL5QwkR7dgq/
Informe de rendimentos sem informações,"Sou cliente Avenue desde 2020 , compro no exterior só pela Avenue e o câmbio tbm para não ter burocracias na hora de realizar o IR",,Há 1 mês,https://www.reclameaqui.com.br/avenue-securities/informe-de-rendimentos-sem-informacoes_GO1oZnkJuvktXap8/
Cadastro não finaliza,"Boa tarde me chamo Maciel Há algum tempo   estou tentando finalizar meu cadastro na Avenue porém sem sucesso, tentei várias ",,Há 1 mês,https://www.reclameaqui.com.br/avenue-securities/cadastro-nao-finaliza_0_U_3Ns5Go4QW2qk/
Insatisfação com cartão internacional,"Bom dia,                 Gostaria de realizar um feedback quanto ao cartão AVENUE para uso no exterior, infelizmente a",,Há 1 mês,https://www.reclameaqui.com.br/avenue-securities/insatisfacao-com-cartao-internacional_njRS-M05eTkTRWBq/
